,Item_Weight,Item_Type,Item_Price,Outlet_Size,Item_Sold
52,9.895,Canned,117.0492,High,810.9444
53,10.895,Fruits and Vegetables,196.3794,,3121.2704
54,12.15,Household,151.4708,,4815.0656
55,7.905,Snack Foods,249.0408,Medium,6258.52
56,9.195,Household,106.1622,,2117.244
57,8.365,Hard Drinks,38.0506,Medium,796.9626
58,15.1,Snack Foods,194.511,Small,4910.275
59,,Canned,180.0344,Small,892.172
60,10.0,Fruits and Vegetables,246.9144,Medium,3185.1872
61,7.97,Meat,87.3514,,1062.6168
62,,Fruits and Vegetables,38.2848,Medium,484.7024
63,,Frozen Foods,51.0692,Small,147.8076
64,,Snack Foods,255.8356,Medium,2543.356
65,17.7,Snack Foods,185.4266,,184.4266
66,19.35,Meat,172.5738,Small,4865.6664
67,13.65,Dairy,186.024,,1118.5439999999999
68,17.6,Soft Drinks,164.8526,,2302.3364
69,8.645,Health and Hygiene,95.841,Small,2027.361
70,15.6,Snack Foods,170.1764,Small,3435.528
71,15.85,Baking Goods,59.222,High,599.22
72,18.25,Starchy Foods,164.7526,,4604.6728
73,7.855,Canned,189.6188,,2285.0256
74,7.825,Household,254.3698,Medium,5580.7356
75,8.39,Frozen Foods,114.0176,Small,2290.3520000000003
76,12.85,Snack Foods,172.3422,Medium,1207.0954
77,,Baking Goods,89.9804,Small,643.1628
78,19.0,Frozen Foods,104.9622,,1587.933
79,5.905,Canned,222.5456,,5305.0944
80,7.76,Snack Foods,101.87,Small,1697.79
81,11.8,Frozen Foods,180.3344,Small,1427.4752
82,16.75,Snack Foods,187.9556,Medium,4693.89
83,,Household,194.6136,Small,583.2408
84,,Baking Goods,171.3764,Medium,3091.9752
85,15.5,Fruits and Vegetables,177.0028,,2479.4392
86,6.055,Fruits and Vegetables,160.99200000000005,Small,2716.4640000000004
87,,Breakfast,155.963,Medium,3285.723
88,6.305,Snack Foods,95.6436,Small,661.8052
89,20.85,Meat,117.2808,Medium,1523.3504
90,20.75,Fruits and Vegetables,122.173,,369.519
91,8.895,Dairy,39.9138,Medium,690.4346
92,19.6,Soft Drinks,55.1614,,1381.535
93,19.7,Fruits and Vegetables,57.893,Small,622.523
94,9.8,Health and Hygiene,114.5492,Small,1274.3412
95,,Frozen Foods,120.0414,Small,487.3656
96,12.15,Frozen Foods,246.046,Medium,1231.73
97,8.75,Fruits and Vegetables,187.4556,Small,3755.112
98,,Household,149.9708,Medium,4363.6532
99,8.75,Fruits and Vegetables,187.8556,Small,1314.2892
100,13.3,Frozen Foods,151.0708,,1805.6496
101,,Snack Foods,178.5344,Medium,2854.9504
102,8.31,Snack Foods,179.1028,Medium,3896.2616
103,16.75,Soft Drinks,38.7822,High,667.7974
104,19.75,Snack Foods,212.0902,Medium,3185.853
105,17.1,Canned,141.1838,High,2247.7408
106,10.5,Baking Goods,163.121,High,1794.3310000000001
107,6.635,Baking Goods,121.3098,,2530.7058
108,,Soft Drinks,225.372,Small,679.1160000000001
109,14.15,Soft Drinks,41.4138,High,812.2760000000001
110,13.3,Dairy,232.53,Small,699.09
111,8.89,Frozen Foods,102.4016,,2732.4432
112,,Meat,176.937,Small,176.437
113,,Snack Foods,121.7098,Medium,4097.3332
114,9.1,Breads,173.2054,,3151.8972
115,7.5,Frozen Foods,239.0906,Medium,5942.265
116,16.85,Frozen Foods,192.4478,,4843.695
117,7.485,Snack Foods,109.0228,Small,2542.0244
118,11.6,Soft Drinks,140.3154,,2552.6772
119,11.65,Snack Foods,227.0694,Medium,1141.847
120,13.0,Household,47.5034,,680.4476
121,12.65,Soft Drinks,159.0578,,2085.9514
122,20.25,Canned,92.512,,186.424
123,8.6,Canned,190.153,Small,3036.048
124,12.6,Breads,62.7194,,866.8716
125,17.7,Frozen Foods,95.041,Small,868.8689999999999
126,14.15,Soft Drinks,82.4276,Small,1137.1864
127,19.25,Dairy,52.7956,,928.1252
128,8.88,Hard Drinks,151.7682,High,762.341
129,20.5,Household,40.2822,,707.0796
130,,Canned,180.5976,Medium,7968.2944
131,13.5,Household,160.292,Small,1438.128
132,,Health and Hygiene,224.4404,Medium,6976.2524
133,8.89,Frozen Foods,101.7016,,101.2016
134,7.855,Canned,188.5188,Medium,952.0939999999999
135,7.235,Household,116.0492,Small,1969.4364
136,,Starchy Foods,165.4526,Medium,5262.4832
137,6.92,Dairy,60.5852,,1314.2892
138,9.3,Fruits and Vegetables,90.8172,,535.3032
139,18.5,Others,132.1284,,263.6568
140,8.02,Household,154.5972,Small,1402.1748
141,9.195,Household,105.1622,,1693.7952
142,12.8,Others,105.5938,,2143.876
143,16.6,Household,177.6344,Medium,2676.5159999999996
144,14.0,Frozen Foods,53.06399999999999,Small,905.488
145,18.6,Frozen Foods,246.3802,Medium,7370.406
146,16.0,Starchy Foods,226.8404,Small,6301.1312
147,17.6,Health and Hygiene,160.692,Small,1597.92
148,21.25,Snack Foods,178.237,Small,529.311
149,7.235,Household,117.5492,Small,1969.4364
150,14.6,Soft Drinks,50.3692,,1034.6532
151,13.85,Frozen Foods,161.52100000000004,Medium,1794.3310000000001
152,13.65,Frozen Foods,197.6426,Medium,2768.3964
153,,Soft Drinks,31.29,Medium,898.83
154,7.365,Fruits and Vegetables,226.172,Small,3169.208
155,18.35,Household,223.5746,Medium,3589.9936
156,5.465,Baking Goods,132.5626,Medium,262.3252
157,18.6,Breakfast,99.8358,,1910.1802
158,13.85,Soft Drinks,140.9154,,1701.7848
159,14.0,Frozen Foods,154.5656,High,2471.4496
160,14.0,Snack Foods,54.764,High,1331.6
161,,Fruits and Vegetables,97.0094,Medium,1808.9786
162,5.905,Canned,222.5456,Medium,3315.684
163,7.27,Soft Drinks,114.2518,Small,2618.5914
164,6.155,Meat,214.556,Small,2769.728
165,19.5,Soft Drinks,233.4958,,5375.0034
166,15.2,Canned,216.8824,,2838.9712
167,12.15,Canned,125.0046,Medium,1743.0644
168,,Household,198.8084,Medium,5555.4352
169,12.6,Breads,61.9194,Medium,619.194
170,14.5,Others,164.821,Small,2120.573
171,16.6,Fruits and Vegetables,173.0738,,3823.0236
172,11.8,Meat,151.4366,High,1360.2294
173,13.1,Fruits and Vegetables,178.8318,High,3969.4996
174,17.7,Fruits and Vegetables,115.1834,,345.5502
175,17.85,Breads,196.5794,,585.2382
176,12.3,Starchy Foods,92.6804,,1010.6844
177,11.8,Health and Hygiene,81.4618,,161.1236
178,,Soft Drinks,42.1112,Small,42.6112
179,11.1,Baking Goods,157.4604,,3010.7476
180,,Frozen Foods,153.0656,Medium,6024.1584
181,11.3,Meat,198.1426,,988.7130000000001
182,,Health and Hygiene,117.944,Small,239.688
183,5.75,Dairy,112.8176,High,1374.2112
184,,Baking Goods,226.8062,Medium,4739.8302
185,11.35,Snack Foods,100.0016,Medium,1012.0160000000001
186,,Fruits and Vegetables,165.7526,Small,657.8104
187,14.0,Health and Hygiene,130.431,Medium,778.9860000000001
188,19.75,Frozen Foods,179.766,,2336.958
189,6.525,Household,85.0882,Medium,2233.0932
190,10.3,Meat,103.9648,Medium,1661.8368
191,5.78,Snack Foods,264.7568,Medium,4745.8224
192,11.85,Fruits and Vegetables,164.1526,,3124.5994
193,16.35,Fruits and Vegetables,50.1324,Medium,467.3916
194,,Household,182.5976,Medium,5070.7328
195,10.5,Fruits and Vegetables,37.6164,Small,540.6296
196,19.0,Frozen Foods,48.0718,Small,992.7078
197,14.6,Others,238.8538,Medium,6008.845
198,,Dairy,62.9194,Medium,2105.2596
199,,Canned,232.63,Medium,5359.69
200,18.75,Health and Hygiene,104.628,,745.696
201,5.26,Baking Goods,161.8868,Small,3275.736
202,18.25,Snack Foods,140.2154,,1701.7848
203,,Baking Goods,177.937,Medium,6704.606
204,15.1,Meat,242.7512,Small,4119.9704
205,15.5,Baking Goods,81.5934,,327.5736
206,13.65,Frozen Foods,45.7402,Medium,780.9834
207,16.1,Soft Drinks,189.3846,,3630.6074
208,,Snack Foods,107.3622,Small,317.5866
209,12.85,Frozen Foods,39.7164,,231.6984
210,9.5,Soft Drinks,32.99,Small,133.16
211,13.8,Dairy,245.1802,Small,5650.6446
212,5.78,Snack Foods,263.7568,,2636.5679999999998
213,19.7,Household,96.0726,,1272.3438
214,14.65,Household,161.5552,,324.9104
215,6.67,Snack Foods,130.0626,,131.1626
216,6.11,Fruits and Vegetables,131.2968,,260.9936
217,13.65,Frozen Foods,260.0936,,260.9936
218,17.2,Meat,160.6578,High,3690.5294
219,6.32,Meat,40.2822,Small,1139.1838
220,4.88,Baking Goods,52.9298,Medium,1995.4026
221,5.425,Baking Goods,88.3514,,1416.8224
222,15.85,Frozen Foods,37.2506,Small,265.6542
223,7.5,Canned,121.7072,,3552.7088
224,12.65,Soft Drinks,161.5578,High,2406.867
225,,Others,211.956,Small,213.05599999999998
226,20.75,Fruits and Vegetables,124.173,High,2956.152
227,,Dairy,152.134,Small,153.134
228,9.0,Canned,79.7644,Small,1649.8524
229,,Canned,181.9292,Medium,3101.2964
230,,Household,165.6526,Medium,4769.1254
231,,Seafood,170.4764,Medium,3435.528
232,14.1,Fruits and Vegetables,86.4198,,1133.8574
233,7.55,Canned,152.334,Small,2603.278
234,13.0,Household,45.40600000000001,Small,605.878
235,,Hard Drinks,192.8846,Medium,2293.0152
236,,Snack Foods,118.7782,Small,119.1782
237,12.3,Starchy Foods,92.9804,High,1929.4884
238,,Snack Foods,109.8912,Medium,2074.6328
239,,Health and Hygiene,79.9618,Medium,241.6854
240,17.25,Household,251.3724,,6795.1548
241,15.85,Household,42.7112,,639.168
242,18.85,Health and Hygiene,192.1846,Small,3248.4382
243,16.35,Fruits and Vegetables,227.6062,,7222.5984
244,14.1,Dairy,229.0668,Small,3225.1352
245,7.905,Snack Foods,249.0408,Small,3755.112
246,12.0,Canned,179.3976,High,3440.8544
247,12.15,Fruits and Vegetables,163.4552,Small,974.7312
248,10.1,Meat,75.367,Medium,535.969
249,17.5,Frozen Foods,262.491,,5259.82
250,,Dairy,152.034,Small,306.268
251,17.1,Fruits and Vegetables,112.3886,Medium,1779.0176
252,7.785,Fruits and Vegetables,61.451,Medium,759.012
253,11.8,Snack Foods,125.9704,High,1877.556
254,13.15,Fruits and Vegetables,171.8764,,3779.0808
255,,Frozen Foods,41.5796,Small,41.2796
256,8.5,Canned,51.1324,,259.66200000000003
257,8.645,Health and Hygiene,96.341,High,193.082
258,17.6,Meat,110.9202,,1687.8029999999999
259,9.1,Baking Goods,127.5362,,4655.9394
260,12.8,Meat,225.9404,High,4950.8888
261,7.63,Soft Drinks,95.4436,Small,1418.154
262,9.285,Frozen Foods,246.4144,,1225.072
263,13.6,Dairy,231.03,,5359.69
264,8.895,Breakfast,176.237,,1764.37
265,16.35,Household,195.211,High,2553.343
266,17.6,Frozen Foods,43.3454,High,1006.6896
267,7.975,Baking Goods,85.225,High,1081.925
268,15.85,Starchy Foods,36.7164,,308.9312
269,15.7,Frozen Foods,178.666,High,2516.724
270,8.985,Frozen Foods,128.83100000000002,Small,1428.141
271,20.35,Dairy,260.1594,High,2093.2752
272,6.59,Fruits and Vegetables,85.6908,High,1929.4884
273,19.85,Dairy,264.0884,Small,5829.7448
274,16.85,Snack Foods,91.4488,Small,2082.6224
275,,Meat,173.1738,Medium,7298.4996
276,16.75,Fruits and Vegetables,256.4988,High,7452.9652
277,17.6,Meat,110.5202,,450.0808
278,7.905,Snack Foods,250.4408,,500.6816
279,,Snack Foods,126.202,Medium,3668.558
280,7.785,Fruits and Vegetables,103.1964,Medium,736.3748
281,7.825,Household,253.0698,Small,6088.0752
282,,Household,101.0016,Medium,2125.2336
283,20.75,Soft Drinks,153.0024,,2277.036
284,,Fruits and Vegetables,190.3846,Small,573.2538
285,6.26,Meat,151.1366,Small,2267.049
286,18.2,Fruits and Vegetables,147.3734,,296.9468
287,13.0,Household,46.306,Medium,559.2719999999999
288,20.25,Fruits and Vegetables,222.1772,Small,5559.43
289,8.695,Household,95.5094,Medium,1237.7222
290,7.27,Soft Drinks,113.5518,,569.259
291,,Breakfast,174.0712,Medium,3866.9664
292,12.85,Fruits and Vegetables,198.4768,,1379.5376
293,7.075,Dairy,142.7128,Medium,1869.5664
294,,Baking Goods,196.211,Medium,5499.508000000001
295,8.195,Baking Goods,94.3462,Medium,925.462
296,7.09,Baking Goods,47.9034,Small,583.2408
297,6.095,Others,141.4154,Small,1418.154
298,19.35,Fruits and Vegetables,80.2644,,942.7728
299,6.15,Baking Goods,99.3384,Small,2364.9216
300,,Canned,87.9856,Medium,3251.7672
301,,Fruits and Vegetables,125.2678,Small,254.3356
302,17.7,Household,167.0474,Small,5895.659000000001
303,17.85,Breads,93.7436,Medium,1134.5232
304,9.395,Soft Drinks,224.972,,7696.648
305,15.75,Hard Drinks,250.5382,,2775.7202
306,7.475,Fruits and Vegetables,241.2854,,5317.0788
307,7.075,Frozen Foods,98.0068,Medium,874.8612
308,6.445,Baking Goods,92.6436,Small,1039.9796
309,19.1,Fruits and Vegetables,235.0958,Small,3038.0454
310,20.25,Dairy,193.6162,Small,3848.324
311,15.0,Canned,59.1904,Small,527.3136
312,6.67,Snack Foods,89.1514,Small,2390.8878
313,,Canned,60.222,Medium,1677.816
314,16.7,Frozen Foods,112.7176,High,801.6232
315,7.07,Snack Foods,115.5834,,1267.0174
316,6.48,Snack Foods,148.0076,,886.8456
317,19.0,Fruits and Vegetables,228.272,,452.744
318,13.35,Frozen Foods,147.5392,,3877.6192
319,,Fruits and Vegetables,146.6418,Medium,4414.254
320,,Hard Drinks,122.4388,Medium,5448.9072
321,9.695,Baking Goods,223.9404,Medium,4950.8888
322,15.0,Soft Drinks,62.6168,,958.752
323,11.15,Dairy,149.9708,,1956.1204
324,20.85,Fruits and Vegetables,103.2306,Medium,2404.2038
325,9.8,Others,194.3478,,387.4956
326,16.35,Meat,165.0842,High,994.7052
327,9.6,Breads,101.299,,1754.3829999999998
328,,Health and Hygiene,129.9994,Medium,3340.9844
329,13.35,Breads,216.7166,,3918.8988
330,20.7,Dairy,76.367,High,306.268
331,,Baking Goods,158.4604,Medium,4278.4308
332,16.2,Fruits and Vegetables,260.6278,,4425.5726
333,,Snack Foods,230.9984,Medium,9267.936
334,,Frozen Foods,76.867,Small,229.701
335,,Breakfast,129.3994,Medium,2055.9904
336,5.5,Others,101.3016,Small,3339.6528
337,15.1,Fruits and Vegetables,221.7456,,6410.3224
338,15.7,Frozen Foods,122.9046,,1992.0736
339,7.895,Breakfast,104.4332,,2870.9296
340,,Canned,164.5184,Medium,2807.0128
341,17.35,Baking Goods,88.18299999999998,High,539.298
342,7.285,Household,174.3054,High,4377.635
343,20.25,Household,180.9976,,2716.4640000000004
344,,Snack Foods,190.9504,Small,383.5008
345,15.85,Soft Drinks,59.5904,Medium,703.0848
346,6.17,Meat,66.3826,Medium,1937.4779999999998
347,19.5,Household,182.2608,Medium,3307.6944
348,19.2,Household,197.611,Medium,3142.5759999999996
349,16.7,Canned,181.2292,Medium,2554.0088
350,20.85,Breads,104.0648,Medium,1869.5664
351,14.5,Breads,260.4594,,5494.8474
352,11.395,Meat,233.1616,High,6093.4016
353,7.97,Soft Drinks,174.0422,Small,2586.633
354,7.71,Snack Foods,55.2956,Medium,1255.6988
355,19.25,Canned,141.7496,Small,4093.3384
356,7.075,Dairy,142.2128,Small,3163.8816
357,,Meat,166.0816,Medium,5033.448
358,11.6,Frozen Foods,79.9276,Small,1137.1864
359,,Fruits and Vegetables,98.77,Medium,2696.49
360,12.1,Hard Drinks,178.56599999999997,Medium,898.83
361,10.0,Health and Hygiene,118.244,Small,2756.4120000000003
362,14.35,Baking Goods,81.896,,878.8560000000001
363,10.395,Snack Foods,58.222,Medium,659.1419999999999
364,,Dairy,182.6292,Small,182.4292
365,8.1,Fruits and Vegetables,211.4902,High,3610.6334
366,8.05,Fruits and Vegetables,256.4646,Small,5153.292
367,9.195,Meat,108.7596,,2588.6304
368,20.7,Dairy,212.5876,Medium,1286.3256
369,15.7,Fruits and Vegetables,110.1544,,1230.3984
370,,Fruits and Vegetables,60.2194,Medium,1733.7432
371,,Health and Hygiene,193.8162,Small,384.8324
372,16.5,Household,180.0318,,3969.4996
373,9.0,Snack Foods,176.437,Small,7763.228
374,6.785,Meat,41.2112,High,809.6128
375,19.5,Canned,178.6002,Medium,1253.7014
376,7.575,Dairy,195.2768,Small,5715.2272
377,18.2,Fruits and Vegetables,57.7904,High,1464.76
378,16.75,Dairy,169.8106,High,3251.1014
379,7.47,Frozen Foods,214.3218,Small,4274.436
380,,Fruits and Vegetables,231.7958,Medium,5375.0034
381,,Fruits and Vegetables,38.019,Medium,1318.2839999999999
382,13.85,Meat,119.4124,Medium,2251.7356
383,6.635,Frozen Foods,37.4506,,1176.4686
384,6.11,Fruits and Vegetables,130.4968,Small,3523.4136
385,15.25,Snack Foods,86.2198,Small,610.5386
386,15.85,Canned,96.4094,Small,1237.7222
387,15.2,Snack Foods,235.1248,,474.0496
388,,Snack Foods,52.6666,Medium,717.7324
389,20.75,Soft Drinks,150.5024,Small,2580.6408
390,10.195,Frozen Foods,143.2154,Small,2552.6772
391,7.605,Fruits and Vegetables,164.021,,3914.9040000000005
392,18.0,Fruits and Vegetables,88.5514,Small,796.9626
393,,Dairy,228.9352,Small,916.1408
394,18.35,Household,191.3504,,3259.7568
395,6.59,Fruits and Vegetables,84.8908,Medium,1677.816
396,13.8,Snack Foods,230.0984,Medium,3707.1744
397,21.2,Starchy Foods,173.5738,Small,2954.1546
398,10.5,Snack Foods,166.4842,Medium,2652.5472
399,8.97,Household,52.7956,,1037.3164
400,,Others,50.9666,Medium,717.7324
401,10.6,Health and Hygiene,86.1224,,426.11199999999997
402,13.65,Breads,231.1668,Small,6911.004
403,19.0,Health and Hygiene,211.0244,Small,3811.0392
404,,Snack Foods,115.3518,Medium,2277.036
405,,Baking Goods,48.9034,Small,48.6034
406,6.865,Snack Foods,212.8218,Medium,5770.4886
407,10.8,Baking Goods,40.2138,Small,690.4346
408,16.7,Dairy,110.2886,High,1890.2062
409,,Hard Drinks,126.2336,Medium,3195.84
410,15.15,Baking Goods,150.1708,Small,1504.7079999999999
411,10.5,Household,238.3248,,711.0744
412,17.6,Dairy,174.2422,Medium,4311.055
413,19.35,Meat,175.4738,Small,521.3214
414,15.7,Household,59.4562,Small,829.5868
415,18.1,Dairy,155.5288,,1571.2879999999998
416,10.195,Starchy Foods,239.6538,Small,2403.538
417,,Breads,41.6454,Small,83.8908
418,6.655,Fruits and Vegetables,211.0586,,844.2344
419,19.0,Household,127.3336,,2940.1728
420,7.075,Frozen Foods,98.0068,,291.6204
421,13.15,Frozen Foods,181.2976,,3259.7568
422,20.1,Fruits and Vegetables,226.8036,Medium,3415.554
423,20.35,Dairy,256.7672,Medium,5624.6784
424,18.85,Health and Hygiene,190.1846,Medium,6687.960999999999
425,16.35,Fruits and Vegetables,227.1062,Medium,5642.655
426,11.3,Meat,196.2426,Medium,4943.565
427,17.5,Fruits and Vegetables,182.6266,Medium,3135.2522
428,18.0,Fruits and Vegetables,87.4514,,796.9626
429,7.935,Dairy,51.535,,848.895
430,,Baking Goods,37.3164,Small,38.6164
431,20.25,Canned,184.5924,Small,4997.4948
432,15.5,Snack Foods,149.1418,Medium,588.5672
433,,Dairy,91.812,Small,372.848
434,,Meat,155.7314,Small,155.1314
435,15.35,Soft Drinks,218.0508,High,3038.7112
436,10.1,Health and Hygiene,200.2084,Small,1587.2672
437,16.7,Frozen Foods,115.4176,,687.1056
438,20.7,Dairy,213.4876,Medium,1929.4884
439,16.0,Starchy Foods,223.8404,High,3600.6464
440,14.0,Starchy Foods,180.7634,Small,2181.1608
441,12.85,Fruits and Vegetables,181.4318,Small,3428.2042
442,20.85,Breads,105.6648,,623.1888
443,12.35,Household,120.5124,Medium,2133.2232
444,6.85,Frozen Foods,261.6594,Medium,3401.5722
445,10.3,Fruits and Vegetables,101.0042,Small,1289.6546
446,,Snack Foods,49.6008,Small,50.6008
447,8.775,Dairy,45.9428,High,790.9704
448,18.85,Health and Hygiene,129.2626,,3147.9024
449,,Household,56.7614,Medium,2486.763
450,14.85,Baking Goods,141.0812,Small,1139.8496
451,20.5,Frozen Foods,84.3592,Small,1816.3024
452,7.84,Canned,51.935,Medium,199.74
453,18.25,Frozen Foods,196.7452,,978.7260000000001
454,10.3,Snack Foods,85.854,High,2683.1740000000004
455,12.5,Household,169.9448,Small,2897.5616
456,,Dairy,260.5594,Medium,9158.079
457,20.25,Canned,93.212,Small,1957.4520000000002
458,,Soft Drinks,40.2822,Medium,1296.3126
459,15.0,Health and Hygiene,140.3838,High,2528.7084
460,8.325,Fruits and Vegetables,38.7138,High,284.2966
461,15.85,Canned,38.6506,,759.012
462,13.1,Dairy,117.3782,Small,1787.6729999999998
463,6.26,Household,111.3228,,2431.5016
464,17.25,Dairy,173.1764,Medium,4466.1864
465,5.765,Frozen Foods,119.9098,Small,2048.6666
466,13.6,Household,175.437,High,1940.807
467,10.5,Frozen Foods,88.78299999999999,,2067.3089999999997
468,7.975,Baking Goods,85.125,,2663.2
469,12.65,Frozen Foods,192.1846,Medium,1146.5076
470,12.3,Household,247.846,,3448.844
471,5.985,Baking Goods,184.8924,,1665.8316
472,,Fruits and Vegetables,184.7266,Medium,8114.7704
473,15.15,Snack Foods,132.5284,Medium,1713.7692
474,12.35,Canned,56.4246,Small,810.9444
475,14.3,Frozen Foods,84.9224,Small,1193.1136
476,8.695,Household,93.4094,Small,856.8846
477,16.35,Meat,163.8842,,165.7842
478,6.135,Baking Goods,151.3366,,1057.9562
479,19.5,Household,185.0608,,2205.1296
480,9.5,Snack Foods,182.3608,High,2940.1728
481,8.895,Hard Drinks,235.8616,Small,3046.7008
482,18.25,Frozen Foods,196.8452,Small,3327.6684
483,21.35,Canned,258.3278,,520.6556
484,19.7,Snack Foods,174.83700000000005,Small,2999.429
485,,Baking Goods,90.0804,Medium,2113.2492
486,16.6,Fruits and Vegetables,117.8466,,942.7728
487,,Dairy,74.0354,Small,75.2354
488,10.895,Fruits and Vegetables,133.6284,Small,1581.9408
489,,Frozen Foods,37.4506,Small,37.9506
490,,Health and Hygiene,151.3024,Small,151.8024
491,,Breads,248.8092,Medium,3486.1288
492,8.51,Household,195.2478,,4262.4516
493,14.15,Snack Foods,243.9828,,731.0484
494,6.65,Fruits and Vegetables,128.8678,Small,1398.8458
495,15.25,Snack Foods,177.96599999999995,Medium,2336.958
496,18.25,Frozen Foods,196.5452,High,2348.9424
497,,Fruits and Vegetables,196.8768,Medium,7094.7648
498,16.0,Frozen Foods,87.4856,Small,1054.6272
499,19.2,Household,127.831,,1298.31
500,12.15,Household,117.815,,2330.3
501,8.895,Frozen Foods,208.9954,Medium,4584.6988
502,10.895,Dairy,263.4568,,527.3136
503,16.0,Dairy,76.1986,,1869.5664
504,,Frozen Foods,106.928,Medium,2876.256
505,9.195,Baking Goods,43.6744,Medium,407.4696
506,11.35,Fruits and Vegetables,201.0742,Medium,2189.8162
507,10.0,Health and Hygiene,144.0102,,1603.9122
508,9.395,Others,82.4908,Small,2013.3792
509,,Soft Drinks,95.9752,Small,95.8752
510,20.75,Breakfast,192.8478,,774.9912
511,9.8,Meat,128.40200000000002,,2403.538
512,5.695,Frozen Foods,258.5646,Medium,4380.2982
513,18.2,Fruits and Vegetables,37.819,,219.71400000000003
514,19.35,Baking Goods,49.2034,High,729.051
515,18.35,Hard Drinks,106.6938,,1393.5194
516,6.36,Household,163.6526,,5262.4832
517,9.8,Soft Drinks,46.506,Medium,372.848
518,,Baking Goods,99.9042,Medium,3273.7386
519,,Household,231.7642,Medium,5344.3766
520,6.635,Frozen Foods,39.7506,High,303.6048
521,18.1,Dairy,156.7288,,314.2576
522,8.93,Household,56.0614,,276.307
523,8.3,Fruits and Vegetables,38.9506,High,721.0614
524,8.895,Household,112.7544,,3467.4864
525,16.35,Fruits and Vegetables,225.9062,Small,5416.9488
526,8.6,Health and Hygiene,140.5154,Medium,283.6308
527,,Household,160.2894,Small,323.5788
528,19.0,Fruits and Vegetables,227.772,,5206.556
529,7.56,Frozen Foods,157.263,,2503.408
530,12.6,Frozen Foods,104.899,High,1960.781
531,15.6,Others,184.7924,,370.1848
532,8.71,Canned,49.5376,,95.8752
533,18.1,Dairy,158.1288,Medium,3299.7048
534,13.35,Frozen Foods,150.2392,,2684.5056
535,16.6,Fruits and Vegetables,173.3738,Small,2085.2856
536,6.695,Frozen Foods,221.9456,Small,2210.456
537,,Fruits and Vegetables,47.4034,Medium,2187.153
538,16.6,Frozen Foods,57.2614,Small,1049.9666
539,15.35,Others,145.047,Small,2719.7929999999997
540,19.7,Fruits and Vegetables,54.593,,56.593
541,14.3,Baking Goods,78.6328,,231.6984
542,,Canned,195.8426,Medium,5734.5354
543,10.0,Frozen Foods,138.718,High,1398.18
544,14.8,Soft Drinks,76.467,Small,1531.34
545,,Canned,160.692,Small,319.584
546,8.71,Dairy,43.8744,Medium,633.8416
547,12.15,Frozen Foods,252.0698,,1014.6792
548,17.85,Health and Hygiene,97.0094,,2094.6068
